Year,LocationAbbr,LocationDesc,Class,Topic,Question,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,MO,Missouri,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,YES,%,Percentage,100,,,,,,43,Hispanic,Maternal Race/Ethnicity,"(38.635790776, -92.566300053)",CLA8,TOP43,QUO143,29,ETH2,BOC6,RES40
2007,UT,Utah,Family Planning,Pregnancy Intention,(*PCH) Indicator of unwanted pregnancy,PRAMS,YES,%,Percentage,4,,,,2.5,6.3,21,Hispanic,Maternal Race/Ethnicity,"(39.360700171, -111.587130635)",CLA4,TOP17,QUO265,49,ETH2,BOC6,RES40
2007,YC,New York City,Demographics,Income,Income groups (years 2004 and beyond),PRAMS,"$50,000 or more",%,Percentage,14.5,,,,10.8,19,59,Hispanic,Maternal Race/Ethnicity,"(42.827001032, -75.543970427)",CLA2,TOP55,QUO64,36,ETH2,BOC6,RES7
2007,AK,Alaska,Prenatal Care,Prenatal Care - Visits,Indicator of no prenatal care,PRAMS,NO,%,Percentage,98.7,,,,94.9,99.7,96,Hispanic,Maternal Race/Ethnicity,"(64.845079957001, -147.722059036)",CLA11,TOP44,QUO171,2,ETH2,BOC6,RES23
2007,OR,Oregon,Demographics,Income,Income groups (years 2004 and beyond),PRAMS,"$25,000 to $49,999",%,Percentage,15,,,,11.9,18.8,59,Hispanic,Maternal Race/Ethnicity,"(44.567449424, -120.155031326)",CLA2,TOP55,QUO64,41,ETH2,BOC6,RES6
2007,MO,Missouri,Demographics,Income,Income groups (years 2004 and beyond),PRAMS,"$10,000 to $24,999",%,Percentage,40.2,,,,23.3,59.8,15,Hispanic,Maternal Race/Ethnicity,"(38.635790776, -92.566300053)",CLA2,TOP55,QUO64,29,ETH2,BOC6,RES5
2007,NC,North Carolina,Demographics,Income,Source of household income - paycheck or money from a job,PRAMS,YES (CHECKED),%,Percentage,90,,,,84.2,93.8,189,Hispanic,Maternal Race/Ethnicity,"(35.466220975, -79.159250463)",CLA2,TOP55,QUO304,37,ETH2,BOC6,RES41
2007,PA,Pennsylvania,Maternal Behavior/Health,Tobacco Use,In the 3 months before you got pregnant  how many cigarettes did you smoke on an average day?,PRAMS,None (0 cig),%,Percentage,83.7,,,,77.9,88.2,191,Hispanic,Maternal Race/Ethnicity,"(40.793730152, -77.860700294)",CLA9,TOP27,QUO190,42,ETH2,BOC6,RES27
2007,HI,Hawaii,Family Planning,Contraception - Conception,Indicator of contraception use at the time of pregnancy (for those not trying to get pregnant),PRAMS,YES,%,Percentage,51.5,,,,43.8,59.1,79,Hispanic,Maternal Race/Ethnicity,"(21.304850435, -157.857749403)",CLA4,TOP4,QUO89,15,ETH2,BOC6,RES40
2007,MN,Minnesota,Family Planning,Contraception - Conception,Reason for not using contraception at conception - had side effects from birth control,PRAMS,NO (UNCHECKED),%,Percentage,,,Not available if the unweighted sample size was less than 30.,,,,,Hispanic,Maternal Race/Ethnicity,"(46.355648736, -94.794200503)",CLA4,TOP4,QUO163,27,ETH2,BOC6,RES24
2007,OR,Oregon,Maternal Behavior/Health,Multivitamin Use,(*PCH) During the month before you got pregnant with your new baby  did you take a daily multivitamin?,PRAMS,NO,%,Percentage,72.8,,,,68.6,76.7,327,Hispanic,Maternal Race/Ethnicity,"(44.567449424, -120.155031326)",CLA9,TOP15,QUO65,41,ETH2,BOC6,RES23
2007,NE,Nebraska,Family Planning,Contraception - Conception,(*PCH) Indicator of no birth control use at conception for those not trying to get pregnant,PRAMS,YES,%,Percentage,46.5,,,,39.7,53.4,86,Hispanic,Maternal Race/Ethnicity,"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO241,31,ETH2,BOC6,RES40
2007,SD,South Dakota,Infant Health,Sleep Behaviors,How often does your new baby sleep in the same bed with you or anyone else?,PRAMS,OFTEN/ALMOST ALWAYS,%,Percentage,,,Not available if the unweighted sample size was less than 30.,,,,,Hispanic,Maternal Race/Ethnicity,"(44.353130053, -100.373530637)",CLA8,TOP23,QUO189,46,ETH2,BOC6,RES30
2007,GA,Georgia,Maternal Behavior/Health,Maternal Health Care,(*PCH) Since your new baby was born  have you had a postpartum checkup for yourself?,PRAMS,YES,%,Percentage,72.7,,,,56.9,84.3,62,Hispanic,Maternal Race/Ethnicity,"(32.839681093, -83.627580346)",CLA9,TOP52,QUO244,13,ETH2,BOC6,RES40
2007,MO,Missouri,Family Planning,Contraception - Conception,Reason for not using contraception at conception- husband or partner did not want to,PRAMS,NO (UNCHECKED),%,Percentage,,,Not available if the unweighted sample size was less than 30.,,,,,Hispanic,Maternal Race/Ethnicity,"(38.635790776, -92.566300053)",CLA4,TOP4,QUO160,29,ETH2,BOC6,RES24
2007,MA,Massachusetts,Maternal Behavior/Health,HIV Test,Reason for refusing HIV test - did not want others to think she was at risk for HIV,PRAMS,NO (UNCHECKED),%,Percentage,,,Not available if the unweighted sample size was less than 30.,,,,,Hispanic,Maternal Race/Ethnicity,"(42.27687047, -72.082690675)",CLA9,TOP7,QUO140,25,ETH2,BOC6,RES24
2007,SC,South Carolina,Infant Health,Breastfeeding,Did you ever breastfeed or pump breast milk to feed your new baby after delivery?,PRAMS,YES,%,Percentage,87.4,,,,76.9,93.5,89,Hispanic,Maternal Race/Ethnicity,"(33.998821303, -81.045371207)",CLA8,TOP3,QUO5,45,ETH2,BOC6,RES40
2007,ME,Maine,Maternal Behavior/Health,Morbidity - Maternal,Indicator of whether mother went to the hospital and stayed more than 7 days for a pregnancy-related complication (years 2004-2008),PRAMS,YES,%,Percentage,,,Not available if the unweighted sample size was less than 30.,,,,,Hispanic,Maternal Race/Ethnicity,"(45.254228894001, -68.985031336)",CLA9,TOP14,QUO19,23,ETH2,BOC6,RES40
2007,MN,Minnesota,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,%,Percentage,30,,,,21.9,39.7,37,Hispanic,Maternal Race/Ethnicity,"(46.355648736, -94.794200503)",CLA9,TOP2,QUO100,27,ETH2,BOC6,RES40
2007,OK,Oklahoma,Prenatal Care,Prenatal Care - Content,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about breastfeeding your baby?,PRAMS,NO,%,Percentage,13.4,,,,7.2,23.5,33,Hispanic,Maternal Race/Ethnicity,"(35.472031356, -97.521070214)",CLA11,TOP19,QUO37,40,ETH2,BOC6,RES23
2007,UT,Utah,Delivery,Delivery - Payment,Indicator of whether other sources paid for delivery,PRAMS,YES (CHECKED),%,Percentage,4.6,,,,2.9,7.1,20,Hispanic,Maternal Race/Ethnicity,"(39.360700171, -111.587130635)",CLA6,TOP56,QUO319,49,ETH2,BOC6,RES41
2007,WI,Wisconsin,Maternal Behavior/Health,Tobacco Use,Change in smoking from the last three months of pregnancy to the postpartum period,PRAMS,#CIGS REDUCED,%,Percentage,0.6,,,,0.1,4,1,Hispanic,Maternal Race/Ethnicity,"(44.393191174, -89.816370742)",CLA9,TOP27,QUO192,55,ETH2,BOC6,RES1
2007,MO,Missouri,Maternal Behavior/Health,Obesity,(*PCH) Mother's prepregnancy body mass index classified as underweight  normal  overweight  or obese,PRAMS,OVERWT  (25.0-29.9),%,Percentage,26.6,,,,13.2,46.4,10,Hispanic,Maternal Race/Ethnicity,"(38.635790776, -92.566300053)",CLA9,TOP31,QUO148,29,ETH2,BOC6,RES44
2007,WI,Wisconsin,Insurance/Medicaid/Services,Medicaid,Indicator of whether mother was Medicaid recipient at any time (pregnancy  for prenatal care  or for delivery).,PRAMS,Medicaid,%,Percentage,62.7,,,,55.9,69.1,123,Hispanic,Maternal Race/Ethnicity,"(44.393191174, -89.816370742)",CLA10,TOP12,QUO53,55,ETH2,BOC6,RES107
