Year,LocationAbbr,Class,Topic,Question,DataSource,Response,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,WV,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,48.3,,43,53.7,322,Non-WIC,On WIC during Pregnancy,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO99,54,WIC1,BOC10,RES25
2007,OR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,2.6,,1.3,5.1,19,0,Number of Previous Live Births,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO99,41,PRV0,BOC20,RES4
2007,OH,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,DRINKER WHO QUIT,Percentage,44.5,,40.5,48.6,422,Non-Smoker,Smoked 3 months before Pregnancy,"(40.060210141, -82.404260056)",CLA9,TOP2,QUO99,39,SMK1,BOC12,RES17
2007,WV,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,DRINKER WHO QUIT,Percentage,46.6,,41.3,52,253,Non-WIC,On WIC during Pregnancy,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO99,54,WIC1,BOC10,RES17
2007,HI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,DRINKER WHO QUIT,Percentage,49.2,,44.4,54.1,188,"$25,000 to $49,999",Income (years 2004 and beyond),"(21.304850435, -157.857749403)",CLA9,TOP2,QUO99,15,INC37,BOC14,RES17
2007,WI,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,Percentage,50,,41.3,58.7,62,Other non-Hispanic,Maternal Race/Ethnicity,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO100,55,ETH3,BOC6,RES40
2007,OR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,2.5,,1.4,4.6,21,"White, non-Hispanic",Maternal Race/Ethnicity,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO99,41,ETH4,BOC6,RES4
2007,OH,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,,Percentage,167,,,,,,Income (years 2004 and beyond),"(40.060210141, -82.404260056)",CLA9,TOP2,QUO99,39,BOC14,BOC14,
2007,NE,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,YES,Percentage,5.7,,3.2,10,18,12 yrs,Maternal Education,"(41.641040988001, -99.365720623)",CLA9,TOP2,QUO9,31,12YR3,BOC5,RES40
2007,ME,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,YES,Percentage,65.8,,62.3,69.1,486,NBW (>2500g),Birth Weight,"(45.254228894001, -68.985031336)",CLA9,TOP2,QUO8,23,BWT2,BOC1,RES40
