Year,LocationAbbr,Class,Topic,Question,DataSource,Response,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,NE,Family Planning,Contraception - Conception,Reason for not using contraception at conception - some other reason,PRAMS,NO (UNCHECKED),Percentage,81.3,,71.2,88.5,113,30+ yrs,Maternal Age (3 Levels),"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO162,31,AYR3,BOC19,RES24
2007,WV,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she or partner was sterile,PRAMS,YES (CHECKED),Percentage,6,,3.7,9.7,25,NBW (>2500g),Birth Weight,"(38.665510202, -80.712640135)",CLA4,TOP4,QUO164,54,BWT2,BOC1,RES41
2007,MO,Family Planning,Contraception - Conception,Reason for not using contraception at conception- didn't mind getting pregnant,PRAMS,YES (CHECKED),Percentage,40.9,,34.4,47.6,136,Non-Smoker,Smoked last 3 months of Pregnancy,"(38.635790776, -92.566300053)",CLA4,TOP4,QUO161,29,SMK1,BOC13,RES41
2007,OR,Family Planning,Contraception - Conception,Reason for not using contraception at conception- husband or partner did not want to,PRAMS,YES (CHECKED),Percentage,24.9,,10.6,48.1,6,Age < 18,Maternal Age - 18 to 44 years in groupings,"(44.567449424, -120.155031326)",CLA4,TOP4,QUO160,41,AGE1,BOC17,RES41
2007,NE,Family Planning,Contraception - Conception,Reason for not using contraception at conception- husband or partner did not want to,PRAMS,NO (UNCHECKED),Percentage,90.5,,81.5,95.4,102,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO160,31,AGE4,BOC17,RES24
2007,NE,Family Planning,Contraception - Conception,Reason for not using contraception at conception- didn't mind getting pregnant,PRAMS,YES (CHECKED),Percentage,49.7,,42.4,57,94,"White, non-Hispanic",Maternal Race/Ethnicity,"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO161,31,ETH4,BOC6,RES41
2007,NE,Family Planning,Contraception - Conception,(*PCH) Indicator of no birth control use at conception for those not trying to get pregnant,PRAMS,YES,Percentage,56.4,,50.6,62,221,MARRIED,Marital Status,"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO241,31,MA1,BOC3,RES40
2007,OH,Family Planning,Contraception - Conception,(*PCH) Indicator of no birth control use at conception for those not trying to get pregnant,PRAMS,,Percentage,659,,,,,,Adequacy of Prenatal care,"(40.060210141, -82.404260056)",CLA4,TOP4,QUO241,39,BOC18,BOC18,
2007,HI,Family Planning,Contraception - Conception,Reason for not using contraception at conception- problems getting birth control,PRAMS,YES (CHECKED),Percentage,6.8,,3.9,11.7,11,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,"(21.304850435, -157.857749403)",CLA4,TOP4,QUO159,15,AGE3,BOC17,RES41
2007,AR,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she could not get pregnant at that time,PRAMS,NO (UNCHECKED),Percentage,72.7,,61.3,81.7,87,<20 yrs,Maternal Age (4 Levels),"(34.748650124, -92.274490743)",CLA4,TOP4,QUO165,5,AYR1,BOC4,RES24
2007,OH,Family Planning,Contraception - Conception,Reason for not using contraception at conception - some other reason,PRAMS,,Percentage,978,,,,,,Number of Previous Live Births,"(40.060210141, -82.404260056)",CLA4,TOP4,QUO162,39,BOC20,BOC20,
2007,HI,Family Planning,Contraception - Conception,Indicator of contraception use at the time of pregnancy (for those not trying to get pregnant),PRAMS,YES,Percentage,51.5,,43.8,59.1,79,Hispanic,Maternal Race/Ethnicity,"(21.304850435, -157.857749403)",CLA4,TOP4,QUO89,15,ETH2,BOC6,RES40
2007,NE,Family Planning,Contraception - Conception,(*PCH) Indicator of no birth control use at conception for those not trying to get pregnant,PRAMS,YES,Percentage,46.5,,39.7,53.4,86,Hispanic,Maternal Race/Ethnicity,"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO241,31,ETH2,BOC6,RES40
2007,NE,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she or partner was sterile,PRAMS,YES (CHECKED),Percentage,,,,,,Age < 18,Maternal Age - 18 to 44 years in groupings,"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO164,31,AGE1,BOC17,RES41
2007,MO,Family Planning,Contraception - Conception,Reason for not using contraception at conception- husband or partner did not want to,PRAMS,NO (UNCHECKED),Percentage,,,,,,Hispanic,Maternal Race/Ethnicity,"(38.635790776, -92.566300053)",CLA4,TOP4,QUO160,29,ETH2,BOC6,RES24
2007,ME,Family Planning,Contraception - Conception,Indicator of contraceptive use at time of pregnancy among women with an unintended pregnancy,PRAMS,YES,Percentage,82.1,,62.8,92.6,24,35+ yrs,Maternal Age (4 Levels),"(45.254228894001, -68.985031336)",CLA4,TOP4,QUO3,23,AYR6,BOC4,RES40
2007,ME,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she could not get pregnant at that time,PRAMS,,Percentage,857,,,,,,Maternal Education,"(45.254228894001, -68.985031336)",CLA4,TOP4,QUO165,23,BOC5,BOC5,
2007,WI,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she or partner was sterile,PRAMS,YES (CHECKED),Percentage,11.1,,6.2,19.1,11,"Black, non-Hispanic",Maternal Race/Ethnicity,"(44.393191174, -89.816370742)",CLA4,TOP4,QUO164,55,ETH1,BOC6,RES41
2007,HI,Family Planning,Contraception - Conception,Indicator of contraceptive use at time of pregnancy among women with an unintended pregnancy,PRAMS,YES,Percentage,40.7,,35.6,46,136,Medicaid,Medicaid Recipient,"(21.304850435, -157.857749403)",CLA4,TOP4,QUO3,15,MED1,BOC9,RES40
2007,WI,Family Planning,Contraception - Conception,Indicator of contraception use at the time of pregnancy (for those not trying to get pregnant),PRAMS,YES,Percentage,39.5,,28.6,51.7,27,Other non-Hispanic,Maternal Race/Ethnicity,"(44.393191174, -89.816370742)",CLA4,TOP4,QUO89,55,ETH3,BOC6,RES40
2007,ME,Family Planning,Contraception - Conception,Reason for not using contraception at conception - some other reason,PRAMS,YES (CHECKED),Percentage,19.3,,11.2,31.2,17,30+ yrs,Maternal Age (3 Levels),"(45.254228894001, -68.985031336)",CLA4,TOP4,QUO162,23,AYR3,BOC19,RES41
2007,MO,Family Planning,Contraception - Conception,Reason for not using contraception at conception - had side effects from birth control,PRAMS,NO (UNCHECKED),Percentage,91.2,,83.8,95.4,88,"$25,000 to $49,999",Income (years 2004 and beyond),"(38.635790776, -92.566300053)",CLA4,TOP4,QUO163,29,INC37,BOC14,RES24
2007,NE,Family Planning,Contraception - Conception,Indicator of contraception use at the time of pregnancy (for those not trying to get pregnant),PRAMS,YES,Percentage,43.9,,38.7,49.2,237,1 or more,Number of Previous Live Births,"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO89,31,PRV1,BOC20,RES40
2007,OH,Family Planning,Contraception - Conception,Reason for not using contraception at conception- problems getting birth control,PRAMS,,Percentage,968,,,,,,Maternal Age (4 Levels),"(40.060210141, -82.404260056)",CLA4,TOP4,QUO159,39,BOC4,BOC4,
2007,ME,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she or partner was sterile,PRAMS,YES (CHECKED),Percentage,8.7,,3.6,19.6,7,"$10,000 to $24,999",Income (years 2004 and beyond),"(45.254228894001, -68.985031336)",CLA4,TOP4,QUO164,23,INC36,BOC14,RES41
2007,AR,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she could not get pregnant at that time,PRAMS,YES (CHECKED),Percentage,24.8,,20.4,29.7,166,Non-Hispanic,Mother Hispanic,"(34.748650124, -92.274490743)",CLA4,TOP4,QUO165,5,HIS2,BOC8,RES41
2007,WI,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she could not get pregnant at that time,PRAMS,NO (UNCHECKED),Percentage,76.4,,70,81.7,176,Non-Smoker,Smoked last 3 months of Pregnancy,"(44.393191174, -89.816370742)",CLA4,TOP4,QUO165,55,SMK1,BOC13,RES24
2007,ME,Family Planning,Contraception - Conception,Reason for not using contraception at conception- didn't mind getting pregnant,PRAMS,YES (CHECKED),Percentage,53.4,,46.5,60.2,147,"White, non-Hispanic",Maternal Race/Ethnicity,"(45.254228894001, -68.985031336)",CLA4,TOP4,QUO161,23,ETH4,BOC6,RES41
2007,ME,Family Planning,Contraception - Conception,Reason for not using contraception at conception- didn't mind getting pregnant,PRAMS,YES (CHECKED),Percentage,53.3,,46.5,60,150,Age 18 - 44,Maternal Age - 18 to 44 years only,"(45.254228894001, -68.985031336)",CLA4,TOP4,QUO161,23,AGE1844ALL,BOC16,RES41
2007,WI,Family Planning,Contraception - Conception,(*PCH) Indicator of no birth control use at conception for those not trying to get pregnant,PRAMS,NO,Percentage,38.1,,29.1,48.1,53,30+ yrs,Maternal Age (3 Levels),"(44.393191174, -89.816370742)",CLA4,TOP4,QUO241,55,AYR3,BOC19,RES23
2007,WI,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she could not get pregnant at that time,PRAMS,YES (CHECKED),Percentage,19.2,,14.1,25.7,52,ADEQUATE PNC,Adequacy of Prenatal care,"(44.393191174, -89.816370742)",CLA4,TOP4,QUO165,55,PNC1,BOC18,RES41
2007,WI,Family Planning,Contraception - Conception,Reason for not using contraception at conception- husband or partner did not want to,PRAMS,YES (CHECKED),Percentage,11.1,,5.6,20.8,10,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,"(44.393191174, -89.816370742)",CLA4,TOP4,QUO160,55,AGE3,BOC17,RES41
2007,NE,Family Planning,Contraception - Conception,Reason for not using contraception at conception - thought she could not get pregnant at that time,PRAMS,YES (CHECKED),Percentage,15.9,,9.3,26,16,"$50,000 or more",Income (years 2004 and beyond),"(41.641040988001, -99.365720623)",CLA4,TOP4,QUO165,31,INC38,BOC14,RES41
2007,OH,Family Planning,Contraception - Conception,(*PCH) Indicator of no birth control use at conception for those not trying to get pregnant,PRAMS,,Percentage,679,,,,,,Number of Previous Live Births,"(40.060210141, -82.404260056)",CLA4,TOP4,QUO241,39,BOC20,BOC20,
