Year,LocationAbbr,LocationDesc,Class,Topic,Question,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.5,,,,0.4,0.6,407,Non-WIC,On WIC during Pregnancy,,CLA8,TOP43,QUO143,59,WIC1,BOC10,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.8,,,,0.6,1,453,WIC,On WIC during Pregnancy,,CLA8,TOP43,QUO143,59,WIC2,BOC10,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,5,,,,4.5,5.7,760,LBW (<=2500g),Birth Weight,,CLA8,TOP43,QUO143,59,BWT1,BOC1,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.3,,,,0.2,0.4,98,NBW (>2500g),Birth Weight,,CLA8,TOP43,QUO143,59,BWT2,BOC1,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.7,525,Intended,Pregnancy Intendedness,,CLA8,TOP43,QUO143,59,IND1,BOC11,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.8,328,Unintended,Pregnancy Intendedness,,CLA8,TOP43,QUO143,59,IND2,BOC11,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.7,602,Non-Smoker,Smoked 3 months before Pregnancy,,CLA8,TOP43,QUO143,59,SMK1,BOC12,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.7,,,,0.6,1,251,Smoker,Smoked 3 months before Pregnancy,,CLA8,TOP43,QUO143,59,SMK2,BOC12,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.7,691,Non-Smoker,Smoked last 3 months of Pregnancy,,CLA8,TOP43,QUO143,59,SMK1,BOC13,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.8,,,,0.6,1.1,160,Smoker,Smoked last 3 months of Pregnancy,,CLA8,TOP43,QUO143,59,SMK2,BOC13,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.7,,,,0.6,1,223,"$10,000 to $24,999",Income (years 2004 and beyond),,CLA8,TOP43,QUO143,59,INC36,BOC14,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.4,0.8,168,"$25,000 to $49,999",Income (years 2004 and beyond),,CLA8,TOP43,QUO143,59,INC37,BOC14,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.4,,,,0.3,0.6,184,"$50,000 or more",Income (years 2004 and beyond),,CLA8,TOP43,QUO143,59,INC38,BOC14,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.9,,,,0.6,1.2,224,"Less than $10,000",Income (years 2004 and beyond),,CLA8,TOP43,QUO143,59,INC39,BOC14,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.7,824,Age 18 - 44,Maternal Age - 18 to 44 years only,,CLA8,TOP43,QUO143,59,AGE1844ALL,BOC16,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.9,,,,0.5,1.4,43,Age < 18,Maternal Age - 18 to 44 years in groupings,,CLA8,TOP43,QUO143,59,AGE1,BOC17,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.8,313,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,,CLA8,TOP43,QUO143,59,AGE2,BOC17,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.7,,,,0.5,0.9,259,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,,CLA8,TOP43,QUO143,59,AGE3,BOC17,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.5,,,,0.4,0.7,252,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,,CLA8,TOP43,QUO143,59,AGE4,BOC17,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.8,,,,0.2,2.9,2,Age 45+,Maternal Age - 18 to 44 years in groupings,,CLA8,TOP43,QUO143,59,AGE5,BOC17,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.5,,,,0.5,0.6,509,ADEQUATE PNC,Adequacy of Prenatal care,,CLA8,TOP43,QUO143,59,PNC1,BOC18,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.9,,,,0.5,1.5,83,INADEQUATE PNC,Adequacy of Prenatal care,,CLA8,TOP43,QUO143,59,PNC2,BOC18,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.4,0.8,196,INTERMEDIATE PNC,Adequacy of Prenatal care,,CLA8,TOP43,QUO143,59,PNC3,BOC18,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,1.4,,,,0.8,2.5,81,UNKNOWN PNC,Adequacy of Prenatal care,,CLA8,TOP43,QUO143,59,PNC4,BOC18,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.8,,,,0.6,1.1,132,<20 yrs,Maternal Age (3 Levels),,CLA8,TOP43,QUO143,59,AYR1,BOC19,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.8,449,20-29 yrs,Maternal Age (3 Levels),,CLA8,TOP43,QUO143,59,AYR2,BOC19,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.4,0.7,288,30+ yrs,Maternal Age (3 Levels),,CLA8,TOP43,QUO143,59,AYR3,BOC19,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.7,,,,0.5,0.9,394,0,Number of Previous Live Births,,CLA8,TOP43,QUO143,59,PRV0,BOC20,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.6,,,,0.5,0.7,469,1 or more,Number of Previous Live Births,,CLA8,TOP43,QUO143,59,PRV1,BOC20,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.5,,,,0.4,0.6,449,MARRIED,Marital Status,,CLA8,TOP43,QUO143,59,MA1,BOC3,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.8,,,,0.6,1,419,OTHER,Marital Status,,CLA8,TOP43,QUO143,59,MA2,BOC3,RES23
2007,PRAMS Total,PRAMS Total,Infant Health,Pregnancy Outcome,Indicator of infant currently alive,PRAMS,NO,%,Percentage,0.8,,,,0.6,1.1,132,<20 yrs,Maternal Age (4 Levels),,CLA8,TOP43,QUO143,59,AYR1,BOC4,RES23
