Year,LocationAbbr,LocationDesc,Class,Topic,Question,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,WV,West Virginia,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,%,Percentage,48.3,,,,43,53.7,322,Non-WIC,On WIC during Pregnancy,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO99,54,WIC1,BOC10,RES25
2007,VT,Vermont,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,%,Percentage,84.8,,,,81.9,87.3,576,>12 yrs,Maternal Education,"(43.625381239, -72.517640791)",CLA9,TOP2,QUO9,50,12YR2,BOC5,RES23
2007,WA,Washington,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,%,Percentage,38.5,,,,27.3,51.1,44,Smoker,Smoked last 3 months of Pregnancy,"(47.522278629, -120.47001079)",CLA9,TOP2,QUO99,53,SMK2,BOC13,RES25
2007,NC,North Carolina,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,NO,%,Percentage,39.2,,,,34.4,44.1,236,30+ yrs,Maternal Age (3 Levels),"(35.466220975, -79.159250463)",CLA9,TOP2,QUO100,37,AYR3,BOC19,RES23
2007,DE,Delaware,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,NO,%,Percentage,40.9,,,,35.9,46.2,154,1 or more,Number of Previous Live Births,"(39.008830667, -75.577741168)",CLA9,TOP2,QUO100,10,PRV1,BOC20,RES23
2007,NY,New York (excluding NYC),Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,49.6,,,,43.1,56,176,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO8,36,AGE3,BOC17,RES23
2007,MO,Missouri,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,%,Percentage,31.4,,,,26.2,37,131,"$50,000 or more",Income (years 2004 and beyond),"(38.635790776, -92.566300053)",CLA9,TOP2,QUO99,29,INC38,BOC14,RES25
2007,WY,Wyoming,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,39.3,,,,33.9,44.9,142,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,"(43.235541343, -108.109830353)",CLA9,TOP2,QUO8,56,AGE3,BOC17,RES23
2007,MN,Minnesota,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,%,Percentage,94.2,,,,92.4,95.6,867,Intended,Pregnancy Intendedness,"(46.355648736, -94.794200503)",CLA9,TOP2,QUO9,27,IND1,BOC11,RES23
2007,WI,Wisconsin,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,28.6,,,,25.7,31.6,369,NBW (>2500g),Birth Weight,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO8,55,BWT2,BOC1,RES23
2007,AK,Alaska,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,%,Percentage,95.3,,,,91.2,97.5,364,INTERMEDIATE PNC,Adequacy of Prenatal care,"(64.845079957001, -147.722059036)",CLA9,TOP2,QUO9,2,PNC3,BOC18,RES23
2007,CO,Colorado,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,53.2,,,,46.3,60.1,205,12 yrs,Maternal Education,"(38.843840757, -106.133610921)",CLA9,TOP2,QUO8,8,12YR3,BOC5,RES23
2007,OK,Oklahoma,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,43.4,,,,37.9,49.1,433,Unintended,Pregnancy Intendedness,"(35.472031356, -97.521070214)",CLA9,TOP2,QUO8,40,IND2,BOC11,RES23
2007,NC,North Carolina,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,53.6,,,,48.6,58.5,367,Unintended,Pregnancy Intendedness,"(35.466220975, -79.159250463)",CLA9,TOP2,QUO8,37,IND2,BOC11,RES23
2007,MD,Maryland,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,%,Percentage,95.5,,,,90.2,98,238,"$25,000 to $49,999",Income (years 2004 and beyond),"(39.290580964, -76.609260111)",CLA9,TOP2,QUO9,24,INC37,BOC14,RES23
2007,AK,Alaska,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,%,Percentage,59.1,,,,39.9,76,32,"Black, non-Hispanic",Maternal Race/Ethnicity,"(64.845079957001, -147.722059036)",CLA9,TOP2,QUO99,2,ETH1,BOC6,RES25
2007,SC,South Carolina,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,74.9,,,,62.6,84.1,140,<20 yrs,Maternal Age (4 Levels),"(33.998821303, -81.045371207)",CLA9,TOP2,QUO8,45,AYR1,BOC4,RES23
2007,WI,Wisconsin,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,%,Percentage,92.5,,,,89.5,94.7,470,>12 yrs,Maternal Education,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO9,55,12YR2,BOC5,RES23
2007,SC,South Carolina,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,%,Percentage,49.2,,,,42.4,56,241,30+ yrs,Maternal Age (3 Levels),"(33.998821303, -81.045371207)",CLA9,TOP2,QUO8,45,AYR3,BOC19,RES23
